和黄鲁直游百花洲盘礴范文正公祠下以生存华屋处零落归山丘为韵赋十诗（宋·夏倪）　　五言绝句　押庚韵	神文秉周礼，庙乐奏九成。当时夔一足，不待鲁诸生。
跋聚蚁图（宋·夏倪）　　七言绝句　押删韵	纷然虫臂蚁争环，付与高人一解颜。不待南柯婚宦毕，始知身寄大槐间。
和王子飞题李伯时画列子御风图（宋·夏倪）　　七言绝句　押鱼韵	道师形气合于无，八极超摇得自如。知我御风风御我，长袪猎猎自乘虚。
题汉阳郎官湖（宋·夏倪）　　七言绝句　押尤韵	太白当年夜郎谪，一樽聊与故人留。南湖乞得郎官号，从此名传五百秋①。
南纪楼（宋·夏倪）　　七言绝句　押尤韵	江发岷山如瓮口，汉从嶓冢又东流。滔滔江汉为南纪，我忆禹功时倚楼。
仁风台（宋·夏倪）　　七言绝句　押寒韵	天水相浮合渺漫，杖藜翘首得遐观。祇应台上开阊阖，便觉银潢到耳端①。
题宗室永年画犬图（宋·夏倪）	公子朝回玉宸里，戏弄丹青歌扇底。兴来貌写到浓氂，拳尾如摇欲投胔。丰颅阔腋伟骨相，纵逸未饶卢鹊驶。庭除夜閒①春尚寒，屈藏短喙眠朝暾。其一狺狺口若吠，欲前却立客在门。俗言犬马最难画，众所共识谁面谩。非如鬼物隐幽眇，反覆丑好悬毫端。纷纷众史坐叹息，笔仗突兀不可扳。乃知心匠本神授，以心运手不作难。我家败屋依破垣，偷儿踏瓦惊夜眠。四壁虽如长卿第，旧物犹存子敬毡。就君乞取挂墙壁，端能警我窥窬客。
次韵题归去来图（宋·夏倪）	阶亭午景负槐阴，空斋初罢戏五禽。沔州太守致音问，启读乃有归来吟。先生抱道肯乞怜，凛凛有面方如田。何能为此五斗粟，折腰乡里小儿前。顾视铜章等涕吐，赋归唾词如涌泉。龙眠居士叹豪逸，想像明窗戏拈笔。翕忽英姿来笔下，如恐超起①将羽化。吁嗟能事讵可畴，一见公诗如见画。惜哉道远莫可致，强欲赓酬抽鄙思。韵绝难追神易倦，使我空然汗颜面。他日从公会借观，锦囊捧出春笋寒。
次韵汉阳蔡守题阳关图（宋·夏倪）	君不见季子敝尽黑貂裘，一生车辙环九州。使之负郭有二顷，未必肯相六国侯。此郎亦复何为者，浪自出入不肯休。东风夹道罗供帐，倚马欲行那得上。绿尊翠勺浩纵横，四坐哀歌互酬倡。阴云漠漠天四垂，行子多著短后衣。金羁滴沥鸣翠弭，负屩蹶倒从卢儿。渔舟微茫出浦溆，远山无数迎修眉。倾曦驮醉出关去，纵有离愁渠得知。长安春色浓如酒，乃向斯时别亲友。可怜儿女浪苦辛，奔走功名逮华首。浊醪百榼胸崔嵬，暮色惨惨羁鸿哀。羊肠鸟道天尺五，尔独胡为来此哉。水有蛟龙狞口眼，陆有兕虎潜岩隈。嗟尔游子不顾返，富贵有时终自来①。
寿蒲宪（宋·夏倪）	君不见相如题桥出蜀都，归来驷马驾赤车。王孙喟叹分金珠，遽喜文君得此夫。又不见扬雄玄经垂日月，承明昼日见三接。当年戏为赋甘泉，炯炯至今光不灭。山川炳灵四载英，两君千载悬盛名。后来继者谁其人，蒲公使君早飞声。先皇侧席搜殊杰，明公凛凛来射策。合沓英词动一时，紫燕飞黄行莫测。文明天子脩前烈，赤轭班输公建节。二年和气满西川，父老欢娱丰两颊。锦瑟高张箫鼓集，还见公膺诞弥日。玉露金风丽早秋，绿樽翠杓明相射。有酒如渑肉如陵，再拜寿公千百年。愿公早早树高勋，快插貂蝉据鼎茵①。
减字木兰花 宣和庚子登浯台作（宋·夏倪）	江涵晓日。荡漾波光摇桨入。笑指浯溪。漫叟雄文锁翠微。休嗟不偶。归到中州何处有。独立风烟。湘水浯台总接天。
句（宋·夏倪）　　押齐韵	蚁浮金椀浊，妓压画船低①。
