陆羽井（宋·司马允中）　　七言绝句	百尺寒泉浸崖腹，藓蚀题名不堪读。只今此味属谁论，自把铜瓶汲新渌①。
陈公楼（宋·司马允中）　　七言绝句	陈公汲深实奇计，转向人间作丰岁。辘轳声晓潜虬寒，玄猿啼在深深树。
千顷云（宋·司马允中）　　七言绝句　押阳韵	且与祖龙相颉颃，大施霖雨谩悠扬。归来好护安禅石，莫作巫山一梦长①。
