辞众（宋·释宗本）　　五言绝句　押尤韵	本是无家客，那堪任便游。顺风加橹棹，船子下扬州①。
赋石鼓（宋·释宗本）　　七言绝句　押先韵	造化功成难可测，不论劫数莫穷年。如今横在孤峰上，解听希声遍大千①。
赠李纲（宋·释宗本）	青共立，米去皮。此时节，甚光辉①。
临终偈（宋·释宗本）	百骸溃散寻常事，一物长灵识者稀。争似大梅知底意，无声三昧證缘知。
