四时四首 春（宋·梅窗）　　五言绝句　押盐韵	昼永春庭邃，双飞燕隔帘。袖随帘捲翠，时见玉纤纤。
秋江写望（宋·梅窗）　　七言绝句　押庚韵	寒江暮泊小舟轻，白鹭栖烟丛苇鸣。宽望远空浮湛碧，老蟾惊玉弄秋清。
西湖戏书二首（宋·梅窗）　　七言绝句　押蒸韵	蜿蜿翠麓秋烟涨，滟滟金波夜月澄。樽酒具时随兴遣，景多逢处曲栏凭。
春望（宋·梅窗）　　七言绝句　押歌韵	丝丝柳翠连云幕，点点鸥轻漾晚波。时事无心随兴远，日长閒处理衣蓑①。
菩萨蛮 其一 春闺（宋·梅窗）	碧窗纱透春寒极。极寒春透纱窗碧。谁送缕金衣。衣金缕送谁。玉肌生嫩粟。粟嫩生肌玉。温处坐香茵。茵香坐处温。
菩萨蛮 其二 咏梅（宋·梅窗）	折来初步东溪月。月溪东步初来折。香处是瑶芳。芳瑶是处香。藓花浮晕浅。浅晕浮花藓。清对一枝瓶。瓶枝一对清。
菩萨蛮 其三 题锦机小轴（宋·梅窗）	浅红绡透春裁剪。剪裁春透绡红浅。机锦织情丝。丝情织锦机。意深凭远寄。寄远凭深意。波渺胜愁多。多愁胜渺波。
菩萨蛮 春晚二首 其四（宋·梅窗）	点点花飞春恨浅。浅恨春飞花点点。莺语似多情。情多似语莺。恋春增酒劝。劝酒增春恋。颦损翠蛾新。新蛾翠损颦。
西江月 泛湖（宋·梅窗）	雨过轻风弄柳，湖东映日春烟。晴芜平水远连天。隐隐飞翻舞燕。燕舞翻飞隐隐。天连远水平芜。晴烟春日映东湖。柳弄风轻过雨。
菩萨蛮 其五（宋·梅窗）	曲屏春展山浮玉。玉浮山展春屏曲。香鸭瑞云翔。翔云瑞鸭香。醉深留客意。意客留深醉。凉枕怯宵长。长宵怯枕凉。
阮郎归 元夕（宋·梅窗）	皇州新景媚晴春。春晴媚景新。万家明月醉风清。清风醉月明。人游乐，乐游人。游人乐太平。御楼神圣喜都民。民都喜圣神。
菩萨蛮 其六 端午（宋·梅窗）	玉钗松鬓凝云绿。绿云凝鬓松钗玉。双翠碍枝长。长枝碍翠双。色丝添意密。密意添丝色。红映袖纱笼。笼纱袖映红。
