江都燕（宋·释正宗）　　五言绝句　押先韵	荒城春色里，花溅泪潺湲。社燕归无屋，营巢寄客船。
山寺晚归（宋·释正宗）　　五言绝句　押微韵	登临兴未尽，落日苦催归。扶持出门去，山寒露湿衣①。
次韵蔡坚老秋日登拟岘台（宋·释正宗）　　七言绝句　押虞韵	秋容淡薄晚烟孤，千里谁开水墨图。欲借扁舟乘兴去，卧看月影弄风蒲。
招福寺作（宋·释正宗）　　七言绝句　押麻韵	自顾不材同社栎，乘流得坎便为家。体中不快思读易，睡思欲来还煮茶①。
观孙司户画壁（宋·释正宗）	若人胸次闲，能容书四库。馀地著山川，得酒欲飞去。摩挲雪色壁，吐作无声句。寒屯水际云，瘦立烟中树。虽非桃花源，亦自有佳处。未休蜗角兵，欲问樵苏路。只恐山中人，笑我来何暮。
