衡阳别妙喜老师（宋·释了演）　　七言绝句　押阳韵	倒骑铁马渡潇湘，涧草岩花不覆藏。回雁峰高亲到顶，了无佛法可商量。
寄育王廓和尚（宋·释了演）　　七言绝句　押东韵	向来事业俱荒废，即体生涯迥一空。渐愧此身无被盖，百般痴钝玷宗风。
石佛（宋·释了演）　　七言绝句　押灰韵	积念有年瞻石佛，今朝一见绝疑猜。都卢面目只如此，却道三生凿出来。
空谷（宋·释了演）　　七言绝句	谷空空谷谷空空，空谷全超万象中。流水落花浑不见，清风明月却相容。
与禅人（宋·释了演）　　七言绝句　押微韵	家山有路应须到，到得家山未是归。拈转杖头俱划断，好看午夜太阳辉①。
颂古三首（宋·释了演）	倒握毒蛇横古路，背骑猛虎舞三台。收来放去无多子，铁眼铜睛被活埋。
偈颂十一首（宋·释了演）	谁庵不会说禅，一向外边之绕。鸣鼓集众升堂，岂容乱开臭口。而今无计可为，谩把屎肠抖擞。瞎驴趁队过新罗，惊起南辰藏北斗。
颂古九首（宋·释了演）　　押侵韵	二祖无端向少林，庭前立雪到腰深。直饶觅得心无有，未免全身被陆沉①。
