朝阳赞（宋·释月涧）　　五言绝句　押遇韵	浑无针劄处，为君道线路。夜半三足乌，飞上珊瑚树。
普说三转语颂出示众（宋·释月涧）　　七言绝句　押支韵	拶到途穷路绝处，灼然命若一丝危。当机烧尾奔当火，那个鱼腾碧汉时。
礼仗锡巳禅师塔（宋·释月涧）　　七言绝句　押佳韵	吞却七峰无寸土，灼然无地著尸骸。不知当日谁闲管，刚把虚空掘窖埋。
礼思大禅师塔（福严）（宋·释月涧）　　七言绝句　押真韵	岿然七十二峰秀，灵骨温温色尚新。我若等闲开坐具，阿师无地著浑身。
礼杨岐禅师塔（云盖）（宋·释月涧）　　七言绝句　押支韵	正脉如今一线微，不堪惆怅泪交颐。冷云深没楚山顶，全体当年缩项时。
悼霍山（宋·释月涧）　　七言绝句　押麻韵	老倒霍山无赖吒，妙高峰顶恣抛沙。大开死口凌霄上，又是一番重退牙。
懒瓒岩（宋·释月涧）　　七言绝句　押阳韵	天子亲颁字十行，难徵老子起岩房。只将牛粪星儿火，煨得蹲鸱万古香。
石屏塔（中竺）（宋·释月涧）　　七言绝句　押先韵	曾分定石竺峰前，回首秋风三十年。漠漠吴天自空阔，老猿和雨哭苍烟。
石林塔（净慈）（宋·释月涧）　　七言绝句　押庚韵	云寒窣堵玉棱层，自酹西湖一勺清。老舌炽然无慈在，钱塘潮撼宋王城。
礼黄龙先师塔（宋·释月涧）　　七言绝句　押元韵	钝锹搅动苍龙窟，浪激波腾海岳昏。一笑不知深问讯，先师灵骨俨然存。
浙中象外诸友寄新作（宋·释月涧）　　七言绝句　押文韵	肝胆重重楚越分，别来不愿见诸君。那知熟①血重相喷，涴却三千里水云。
怀径山诸友（宋·释月涧）　　七言绝句	十年交结几冤憎，别后谁能记姓名。遥想瞎驴成大队，挹南岳又望东溟。
谢无文惠书不至（宋·释月涧）　　七言绝句　押先韵	一幅无文倍息全，无端流落水云边。秋空雁字重书出，顿首分明到不宣。
田叟（宋·释月涧）　　七言绝句　押尤韵	半亩春风个钁头，通身泥水不曾休。布成荆棘参天了，老子今年大有秋。
斗山（宋·释月涧）　　七言绝句	四角量来四极同，乾坤大地在其中。虾儿没兴跳得出，冲破□①须百万重。
贺庐山罗汉老子（宋·释月涧）　　七言绝句　押灰韵	说法声如动地雷，小南铺席又重开。成群引得呆尊者，远远也从高丽来。
悼无文和尚（宋·释月涧）　　七言绝句　押文韵	玉几深深结死冤，错传一印漫无文。春雷轰破轰不破，尽尽江天飞暮云。
玉崖朝京归住天池（宋·释月涧）　　七言绝句　押蒸韵	天上明光四度登，古今屈措几人曾。放光近向庐山顶，莫谓文殊夜放灯。
送仁侄（宋·释月涧）　　七言绝句　押先韵	恶业相从十五年，未尝蹉口教参禅。而今年老心孤甚，三十乌藤趁上船。
南侍者往送乃师朝京（宋·释月涧）　　七言绝句　押灰韵	阿师北去朝金阙，款语丁宁子一回。京洛春风无限好，我宽襟袖裹将来。
