小洞天（宋·毛奎）　　七言绝句　押先韵	丁相沉吟叹夙缘，卫公精爽亦凄然。古今惟有毛知郡，偏爱崖州小洞天。
大洞天（宋·毛奎）　　七言绝句　押先韵	大洞天连小洞天，洞天今在海南边。游人剩有磨①崖什，闲拂苍苔看几篇②。
小洞天（宋·毛奎）　　五言排律　押先韵	丰登少公事，时得访林泉。凿破蓬丘岛，潜通小洞天。岩瞻横北面，钓隐近西偏。缥缈云藏阁，依稀石似船。崖平好磨琢，洞窈足回旋。路贯层巅上，人随曲巷穿。海光常潋滟，山色更清妍。真可消尘俗，何妨中圣贤。烟霞无尽藏，风月不论钱。胜概好收拾，凭谁秉笔椽。
