忆王孙 其一 春词（宋·李重元）	萋萋芳草忆王孙。柳外楼高空断魂。杜宇声声不忍闻。欲黄昏。雨打梨花深闭门。
忆王孙 其二 夏词（宋·李重元）	风蒲猎猎小池塘。过雨荷花满院香。沈李浮瓜冰雪凉。竹方床。针线慵拈午梦长。
忆王孙 其三 秋词（宋·李重元）	飕飕风冷荻花秋。明月斜侵独倚楼。十二珠帘不上钩。黯凝眸。一点渔灯古渡头。
忆王孙 其四 冬词（宋·李重元）	彤云风扫雪初晴。天外孤鸿三两声。独拥寒衾不忍听。月笼明。窗外梅花瘦影横。
