吕子进知睦州予追送累日别后寄之（宋·张举）　　七言绝句　押庚韵	篱鴳云鹏各有程，匆匆相别未忘情。恨君不在篷窗底，共听萧萧夜雨声。
游山寺（宋·张举）　　七言绝句　押元韵	冻仆堆堆依灶燎，山僧草草具盘飧。井丹已厌尝葱叶，庾亮何劳借薤根。
句（宋·张举）　　押阳韵	无限寒鸦冒雨飞，红树高高出粉墙。
