横江（宋·张邵）　　五言绝句　押先韵	横江一片碧，携鹤上渔船。收纶不成下，却抱钓竿眠①。
送邓城令王该致仕（宋·张邵）　　七言绝句　押先韵	碌碌红尘三十年，一官今喜赋归田。此行正值鲈鱼美，好向鄞江买剑船①。
句（宋·张邵）　　押真韵	苏毡久绝寝衣想，姜被忽分挟纩春①。
