次太守李侍郎和郡博士包丈芍药韵二首（宋·钱亿年）　　七言绝句　押寒韵	栽花未免惜花残，忙里应须护小栏。何似长松与修竹，不妨耐久静中看。
呈盛逢时（宋·钱亿年）　　七言绝句　押尤韵	倦翮知还心已休，无穷世事懒回头。是非不属闲人耳，月自当空水自流。
次游玉虚洞韵（宋·钱亿年）　　七言绝句　押侵韵	茂松修竹昼阴阴，涧水幽流一径深。未必山中无外事，须知静躁总因心①。
和唐子固见寄初冬晚步韵（宋·钱亿年）　　押质韵	凄风满寒谷，广陌照落日。繁霜排岸草，尪瘁怯寒慄。块坐阅残编，十日九不出。时为孤愤吟，嗟嗟类蟋蟀。歧路多阻艰，烟霞成痼疾。保是千金躯，他慕无终毕。远览尘垢外，无得初无失。溺志胶扰间（一本作复开），跧跽信匪一。阮生亦有言，何异裈中虱。呼童洗破觥，一醉真可必。耳热即呜呜，鄙野谁诃诘。浩歌莫予知，奚用聆清瑟。
重阳（宋·钱亿年）　　押尤韵	商飙惊秀木，松桂不受秋。萸菊有光辉，芬芳满金瓯。古来贤达人，逢时聊解忧。龙山孟参军，帽落初不羞。东篱陶徵士，得酒更何求。若人不常有，至今称风流。节物自尔殊，生灭同一沤。浮世梦幻身，适意是良谋。山翁未尝乐，而亦未尝愁。吾独可奈何，任渠自悠悠。
避暑椒山呈潘师清（宋·钱亿年）　　押漾韵	凉风生层峦，炎日遮叠嶂。我来兹地游，心焉乐清旷。为吏即华颠，愧临士民上。老丑畏近人，筋骸非少壮。知止远卑辱，奚敢谓高尚。龊龊方自持，良心未容放。促柱有繁音，庞聒无清唱。却暑御絺绤，自修终弭谤。居闲无适莫，且免萦重恙。俯仰心不惭，无言亦疏畅。
