七夕（宋·倪涛）　　七言绝句　押支韵	玉殿凭肩共语时，风清月坠有谁知。梧桐秋雨三山远，始信生前有别离①。
偶访吉甫画三蝇壁间吉甫有诗次韵（宋·倪涛）	何人刻猕猴，老眼觑荆棘。不如丹青手，快意风雨疾。我穷坐诗豪，九鼎扛笔力。偶然一点污，著纸生羽翼。千言走蚍蜉，宁为寸纸逼。还当写君诗，什袭同藏羃①。
次韵毛达可给事秋怀念归（宋·倪涛）　　押微韵	结茅远人村，破屋水半扉。凉叶堕清响，空山转斜晖。微官卧江汊，素心久依依。十年天涯秋，摇落月芳菲。马蹄岁月去，梦蝶东南飞。平生丘壑志，有言辄乖违。不如孤征鸿，春风自知归①。
句（宋·倪涛）　　押庚韵	旧韵无仪字，苍髯有恨声（麻城万松亭）。
