游青城（宋·郑庭芬）　　五言绝句	短筇穿白云，直上孤峰顶。下瞰六时崖，前临七折岭①。
陆子泉（宋·郑庭芬）　　七言绝句　押庚韵	塔中老宿空留影，湖上婴儿漫记名。唯有阶前一泓井，至今不改旧时清①。
题昌州牛尾驿（宋·郑庭芬）　　七言绝句	龙尾道中退朝客，雕鞍宝马黄金勒。谁怜远使足驰驱，夜半孤村牛尾驿①。
