宿上清宫（宋·勾台符）　　五言绝句　押先韵	寄宿翠微颠，身疑入半天。晓钟鸣物外，残月落岩前。
延庆宫（宋·勾台符）　　五言绝句　押咸韵	一簇楼台地，嵯峨四面函。路盘七折岭，坐对六时岩。
句（宋·勾台符）　　押先韵	松门开碧嶂，五甃锁清泉（清都观）。
