次韵秦会之题墨梅二首（宋·张子文）　　七言绝句　押元韵	南枝春色弄微温，记得清香扑酒尊。今日相逢隔烟雾，扬州残梦足销魂。
次韵何文缜墨梅二绝（宋·张子文）　　七言绝句　押先韵	偃蹇江头卧夕阳，懒将玉雪斗春妍①。心期老氏能知白，兴寄扬雄独守玄②。
墨梅三绝（宋·张子文）　　七言绝句　押元韵	笔端唤醒玉梅魂，满袖春风不见痕。未许捲帘新月上，却教烟雨恼黄昏。
