清风亭（宋·晁端禀）　　五言绝句　押阳韵	物外林泉静，闲中日月长。清风飒然至，可以傲羲皇。
无心亭（宋·晁端禀）　　五言绝句　押侵韵	地与市朝远，云藏山水深。长令有心者，到此自无心①。
琅邪山（宋·晁端禀）　　七言绝句　押屋韵	琅邪山色连云绿，烟树参差裹岩谷。幽香烂熳四时花，翠影交加万竿竹。
翠微亭（宋·晁端禀）　　七言绝句　押职韵	晓风吹落秋泉声，夜雨洗出秋山色。上有楼台深翠微，可惜丹青图不得。
醉眠亭（宋·晁端禀）	吏部瓮閒眠，先生窗下卧。夜偷绿醑饮，昼喜清风过。人为清风快于酒，摆落烦襟洗尘垢。吾知醉寝胜闲睡，可以寄天真兮忘世累。沟渎超江汉，幕席视天地。蝴蝶不知缘变化，黄粱未熟虚营利。从来闲处得闲乐，何者功成与名遂。陇西夫子称世贤，世家自是酒中仙。作亭占得松陵地，东坡名之为醉眠。醉复眠兮眠复醉，颐养邹轲浩然气。贤人为浊圣人清，昏昏梦寐都忘形。花影满身犹未觉，竹风吹面不知醒。忆昔乐天贪醉吟，吟哦未免劳其心。不如醉睡了无事，其乐陶陶得趣深。我身走尘埃，羁鞅殊未息。有所思兮在高轩，欲往从之路艰塞。无缘一榻同醉眠，空秃千毫挥醉笔①。
