送化士分卫（宋·释绍隆）　　七言绝句　押元韵	大地撮来粟米粒，一毫头上现乾坤。居家不离途中事，常在途中不出门①。
朱槿花（宋·释绍隆）　　七言绝句　押东韵	朱槿移栽释梵中，老僧非是爱花红。朝开暮落关何事①，祇要人知色是空②。
偈二十七首（宋·释绍隆）	穷诸玄辩，竭世枢机。百千法门，无量妙义。总在个里，不隔一丝。
颂古（宋·释绍隆）　　押东韵	迅雷吼破澄潭月，当下曾经三月聋。去却膏肓必死疾，丛林从此有家风①。
初祖赞（宋·释绍隆）　　押微韵	阖国人难挽，西携只履归。只应熊耳月，千古冷光辉①。
开山明教大师赞（宋·释绍隆）　　押灰韵	春至百花触处开，幽香旖旎袭人来。临风无限深深意，声色堆中绝点埃①。
