荐福院双柏（宋·李常）　　七言绝句　押真韵	当日双缣直万缗，买留柯叶拂星辰。上巢绝顶饶千鹤，下憩清阴可百人①。
解雨送神曲（宋·李常）　　押文韵	怒风兮扬尘，日烁石兮将焚。水泉竭兮厚地裂，嘉谷槁兮孰耨且耘。神龙兮灵壑，挹清波兮幽濆。鸣鼍鼓兮舞神觋，庶下鉴兮霈祥氛。
醉眠亭（宋·李常）　　押青韵	陶公醉眠野中石，君醉辄眠舍后亭。人知醉眠尽以酒，不知身醉心常醒。众人清晨未尝饮，已若醉梦心冥冥。淫名嗜利到穷老，有耳亦不闻雷霆。醉石虽顽委山侧，苔昏日剥谁与扃。牧童樵叟亦能指，卒以陶令垂千龄。危檐弱栋倚荒渚，海雾江雨穿疏棂。勿谓幽亭易摧折，勉事伟节同明星①。
题招提院静照堂（宋·李常）	藻户面通漕，飞甍出重城。堂成未遑息，复作千里行。尘埃袖短褐，蒙暑踏寒冰。其求异求食，志欲诗编盈。宁辞阍吏慢，聊为一堂荣。都城竞名利，日出车马声。谁云方外士，奔走亦有营。惟静制众动，自照中乃明。胡为挠山水，风急帆更轻。岁阑去勿缓，恐负新堂名①。
句（宋·李常）	皖公山下开轩处，坐听龙吟十里长①。
