渔父（宋·吕炎）　　七言绝句　押尤韵	万顷江天一叶舟，桃花春水蓼花秋。翛然白鸟苍烟外，只有渔翁得自由①。
田园词（宋·吕炎）　　七言绝句　押麻韵	阴阴径底忽抽叶，莫莫篱边豆结花。唳鹤清愁牵犬恨，料应不到菜园家。
甘园（宋·吕炎）　　七言绝句　押麻韵	曾入当年富贵家，东风几度换年华。满园桃李不知主，独自开花自落花①。
闺思（宋·吕炎）　　七言绝句　押盐韵	夜久香销翡翠奁，十分春恨上眉尖。荼蘼谢了樱桃过，人影参差月半帘①。
