木芙蓉（宋·释辉）　　五言绝句　押东韵	霜深才吐艳，日暮更饶红。掩映残荷浦，冯夷败菊丛①。
梅花（宋·释辉）　　七言绝句　押真韵	我见庭梅六十春，当时初见已轮囷。人老只道梅花老，不道梅花老笑人①。
古藤（宋·释辉）　　七言绝句　押麻韵	翠盖阴森高隐鹤，修条屈曲暗藏蛇。闲来兀坐莓苔石，时见山禽扑落花①。
润州（宋·释辉）　　七言绝句　押东韵	北固楼前一笛风，断云飞出建章宫。江南二月多芳草，春在濛濛细雨中。
句（宋·释辉）	丁宁童子休教扫，留取窗前当雪看（梅花）。
