和张乖崖（宋·太学生）　　七言绝句　押庚韵	四窗灭尽读书灯，窗外唯闻步铎声。辜负江山好明月，闲来此地趁虚名①。
池鸥（宋·太学生）　　七言绝句　押支韵	朝来池上有斯事，火急报教同舍知。昨夜雨馀春水满，白鸥飞下立多时①。
刺贾似道（宋·太学生）　　七言绝句　押歌韵	昨夜江头长碧波，满船都载相公醝。虽知要作调羹用，未必调羹用许多①。
