占巾子（宋·叶简）　　五言绝句	近来好裹束，各自竞尖新。称无二三两，因何号一斤。
占两鸡子（宋·叶简）　　五言绝句　押支韵	此物不难知，一雄兼一雌。请将打破看，方明混沌时①。
占贮橘子（宋·叶简）　　押删韵	圆如珠，赤如丹，倘能擘破分吃了，争不惭愧洞庭山。
