渔父（宋·游次公）　　七言绝句　押微韵	竹里茅茨傍小①溪，粼粼白石护渔矶。想应日日来垂钓，石上蓑衣不带归②。
早起（宋·游次公）　　七言绝句　押删韵	银床露湿井华寒，自挈铜瓶汲水还。宿雨未乾池馆静，凉蝉犹在栋梁间。
耒阳道中（宋·游次公）　　七言绝句　押支韵	山头磴石危梯险，山下荒田野草悲。更著秋风吹两鬓，不消几日尽成丝①。
画虎（宋·游次公）	平生射虎裴将军，马狞如龙弓百钧。手撚白羽旁无人，注虎使虎不敢奔。须臾丛薄斓斑出，人马不知俱辟易。矢如蓬蒿弓减力，将军得归几败绩。徐行爪牙元不露，眈眈垂头若微顾。尾剪霜风林叶飞，倏忽山头日光暮。包家画出真于菟，我尚不敢编其须。昔人作诗讥画图，吁嗟画图今亦无①。
秋虫（宋·游次公）　　押阳韵	一气动芒沕，鸣虫应清商。天机发天籁，托彼蛩与螀。凄然起秋声，感我彻肺肠。幽思不自识，远兴来何方。至音有如此，始晤韶与章。风霜入凄断，月露皆悲凉。天地有声乐，呻吟委寒荒。尔非丝竹奏，那得登君堂①。
贺新郎 宫词（宋·游次公）	暖霭浮晴籞。锁垂杨、笼池罩阁，万丝千缕。池上晓光分宿雾，日近群芳易吐。寻并蒂、阑干凝伫。不信钗头飞凤去，但宝刀、被妾还留住。天一笑，万花妒。阿娇正好金屋贮。甚西风、易得萧疏，扇鸾尘土。一自昭阳扃玉户，墙角土花无数。况多病、情伤幽素。别殿时闻箫鼓奏，望红云、冉冉知何处。天尺五，去无路。
卜算子（宋·游次公）	风雨送人来，风雨留人住。草草杯盘话别离，风雨催人去。泪眼不曾晴，眉黛愁还聚。明日相思莫上楼，楼上多风雨。
满江红（宋·游次公）	云接苍梧，山莽莽、春浮泽国。江水涨、洞庭相近，渐惊空阔。江燕飘飘身似梦，江花草草春如客。望渔村、樵市隔平林，寒烟色。方寸乱，成丝结。离别近，先愁绝。便满篷风雨，橹声孤急。白发论心湖海暮，清樽照影沧浪窄。看明年、天际下归舟，应先识。
贺新郎 月夜（宋·游次公）	斗柄回秋律。素蟾飞、冰霜万里，满川金碧。得月偏多何处是，惟有桥南第一。正野迥、西风寒寂。丹桂婆娑疏影在，想微瑕、未累千金璧。河汉远，澹无迹。知君有句酬佳夕。尽高歌、胡床自倚，露漙珠溢。坐到参横星欲暗，隐隐天低似笠。但络纬、悲啼催织。吟咏凄凉翻有恨，谅知音、人远空追忆。谁为置，郑庄驿。
满江红 丹青阁（宋·游次公）	一舸归来，何太晚、鬓丝如织。谩叹息、凄凉往事，尽成陈迹。山迫暮烟浮紫翠，溪摇寒浪翻金碧。看长虹、渴饮下青冥，危栏湿。谁可住，烟萝侧。俗士驾，当回勒。伴岩扃，须是碧云仙客。风月已供无尽藏，溪山更衍清凉国。恨谪仙、苏二不曾来，无人说。
