吕洞宾（宋·林灵素）　　七言绝句　押真韵	捻土为香事有因，世间宜假在宜真。洞宾却识林灵素，灵素何尝识洞宾①。
无题（宋·林灵素）　　七言绝句　押真韵	苏黄不作文章客①，童蔡翻为社稷臣。三十年来无定论，不知③奸党是何人②。
游天坛（宋·林灵素）	摆脱尘缨淡无欲，闲阅图经寻岳渎。林泉何处惬予心，收拾琴书将卜筑。崎岖不敢千里辞，东至太行人王屋。先探藏花坞里春，蟠桃毕竟何时熟。燕萝故宅阳台宫，九龙戏珠画屏簇。丹井沉沉寝月明，丫髻仙童把参斸。昂头贪看华盖峰，蓦然误入紫微谷。上方楼阁与云闲，金碧交辉射林麓。远尘沟有远尘人，夜半闻歌采芝曲。策杖穷跻瘦龙岭，险似剑阁西向蜀。扪参历井上冲冥，千剑①断崖横独木。自辰及酉脚力穷，恰到紫金堂下宿。再拜新尝太乙泉，顿觉洒然消病骨。褰衣竟入南天门，回首乾坤小蛮触。恍兮惚兮九霄间，万顷岚光醒醉目。银座金腰玉顶寒，帝遣仙官分部属。小有中藏万里地，都压洞大三十六。日精月华左右奇，黛色倚空如削玉。东观大海日轮红，西望穷边坛影绿。炼丹炉下土犹香，抱出神丹知几斛。巡山使者持太阿，保护神宫谁敢黩。王母洞深非可测，雷霆屡震蛟龙窟。遥指三官校勘台，樵人几度闻丝竹。抱朴岩前采药童，手撚金芝身薜服。北斗平联北斗星，自是天关通地轴。麻笼药匮翠相连，瑞草灵苗香馥郁。一声长啸坐孤石，紫云悠悠送黄鹄。个中煞是麻姑仙，冷笑世间光景促②。
句（宋·林灵素）　　押尤韵	政和丁酉西风秋，天子赐以骑青牛（青牛歌）。
颂（宋·林灵素）　　押庚韵	四十五岁劳生，浮名满世峥嵘。只记神霄旧路，中秋月上三更①。
