题画 春景（宋·李用）　　五言绝句　押祃韵	春水满四泽，浪暖鱼龙化。呼吸成风云，霖雨遍天下。
题画 夏景（宋·李用）　　五言绝句	夏云多奇峰，翠屏高列耸。瑞气负钟灵，群低皆仰供。
题画 秋景（宋·李用）　　五言绝句　押哿韵	秋月扬明辉，芙蓉开朵朵。捲起水晶帘，明月清风我。
题画 冬景（宋·李用）　　五言绝句　押屑韵	冬岭秀孤松，松枝傲霜雪。不同桃李春，永抱岁寒节①。
