戊寅入岭丁亥上元游碧落洞（宋·李华）　　七言绝句　押先韵	乳床奇诡鉴清涟，碧落真人古洞天。十载南游才一到，不访重补到难篇①。
鸱夷子皮赞（宋·李华）	龙蟠幽谷，非时则伏。蝉蜕高枝，饮露而飞。进如风行，退若云归。冥冥其几，赫赫其居。于越霸兴，强吴荡夷。功成不居，先生得之①。
句（宋·李华）　　押真韵	后夜郁孤台上月，更从何处照诗人（送）。
