南乡子 其一（宋·吴氏）	楼台里，春风淡荡。
句（宋·吴氏）　　押元韵	故将罗袖裛啼痕①。
失调名 立春（宋·吴氏）　　押霁韵	剪新幡儿，斜插真珠髻。
