失调名 其一 和人春词（宋·周煇）	卷帘试约东君，问花信风来第几番。
失调名 其二 和人蜡梅词（宋·周煇）	生怕冻损蜂房，胆瓶汤浸，且与温存著。
句（宋·周煇）	捲帘试约东君问，花信风来第几番（春词）。
