瀫波亭（宋·吕防）　　五言绝句　押庚韵	王孙馀巧力，银汉亦经营。地轴卷不尽，风梭织又成①。
题梅坛（宋·吕防）　　七言绝句　押寒韵	封事悠悠即挂冠，苍烟古木锁空坛。当时不识蓬莱客，祇作南昌一尉看。
题梅仙观（宋·吕防）	尝读子真传，掩卷屡长叹。如何忠正资，适在元成间。危言论时政，条畅穷根源。直节破奸胆，愤气冲儒冠。上书辄报罢，九九惭齐桓。是时公卿辈，曾不为厚颜。雄文灿方册，至今日星攒。深机识祸福，拂衣九江干。一朝弃妻子，变姓抱吴关。位卑而言高，自古为尤难。斯人能保身，出处何其艰。繄子偶得邑，驾言谒仙坛。坛侧千丈松，凛凛清风还。寿春下新诏，高蹈翠琰刊。壁间罗隐记，中理极可观。当年康乐公，游览遍名山。云何此佳迹，未被金石言。真人久怅望，伫看西飞鸾①。
