寓居全吴江上（宋·姚申之）　　七言绝句　押麻韵	夜来得酒气增华，兴入丹梯月姊家。两首新诗一篇赋，今年不负木犀花。
家西小亭名水云千顷（宋·姚申之）　　七言绝句　押灰韵	云影翻随宿鸟回，斜晖犹带晚潮来。小桥低处通船过，一队鹅儿两道开。
将至昆山舟中作（宋·姚申之）	昆岭烟敛后，虞浦风定时。一舸飞两橹，百媚生涟漪。霜清寒中人，天宇云陆离。朝曦忽漏光，野光明荒陂。潜鱼时一跃，宿鸟意迟迟。却望西津桥，千尺天投霓。豪家贵公子，香衾拥屏帏。安知苍莽中，有境如此奇。我以饥驱出，气轩复开眉。褚侯真懿亲，襆被相追随。长啸开船篷，襟袖风披披。平生崔嵬胸，轩昂对天池。有景无句道，径须酒浇之①。
