东坡田（宋·蒋捷）　　七言绝句　押先韵	老去红灰酒瓮前，向来青草瘴江边。卜居自为溪山好，不是区区为买田①。
铜官山（宋·蒋捷）	崒嵂荆南山，袁令葬其麓。相传天赐棺，咄咄诳流俗。令尝成舆梁，天报宜以福。赐棺信荣矣，毕竟入鬼录。珠官在岭南，锦官在巴蜀。盐官与铁官，登载粉简牍。吾恐古有司，铸铜山之足。后人讹承讹，官傍妄加木。政须改铜官，大字镵崖腹。事有作俑者，并按王乔玉①。
贺新郎 其一 秋晓（宋·蒋捷）	渺渺啼鸦了。亘鱼天、寒生峭屿，五湖秋晓。竹几一灯人做梦，嘶马谁行古道。起搔首、窥星多少。月有微黄篱无影，挂牵牛、数朵青花小。秋太淡，添红枣。愁痕倚赖西风扫。被西风、翻催鬓鬒，与秋俱老。旧院隔霜帘不卷，金粉屏边醉倒。计无此、中年怀抱。万里江南吹箫恨，恨参差、白雁横天杪。烟未敛，楚山杳。
贺新郎 其二 约友三月旦饮（宋·蒋捷）	雁屿晴岚薄。倚层屏、千树高低，粉纤红弱。云隘东风藏不尽，吹艳生香万壑。又散入、汀蘅洲药。扰扰匆匆尘土面，看歌莺、舞燕逢春乐。人共物，知谁错。宝钗楼上围帘幕。小婵娟、双调弹筝，半霄鸾鹤。我辈中人无此分，琴思诗情当却。也胜似、愁横眉角。芳景三分才过二，便绿阴、门巷杨花落。沽斗酒，且同酌。
贺新郎 其三 吴江（宋·蒋捷）	浪涌孤亭起。是当年、蓬莱顶上，海风飘坠。帝遣江神长守护，八柱蛟龙缠尾。斗吐出、寒烟寒雨。昨夜鲸翻坤轴动，卷雕翚、掷向虚空里。但留得，绛虹住。五湖有客扁舟舣。怕群仙、重游到此，翠旌难驻。手拍阑干呼白鹭，为我殷勤寄语。奈鹭也、惊飞沙渚。星月一天云万壑，览茫茫、宇宙知何处。鼓双楫，浩歌去。
贺新郎 其四（宋·蒋捷）	梦冷黄金屋。叹秦筝、斜鸿阵里，素弦尘扑。化作娇莺飞归去，犹认纱窗旧绿。正过雨、荆桃如菽。此恨难平君知否，似琼台、涌起弹棋局。消瘦影，嫌明烛。鸳楼碎泻东西玉。问芳悰、何时再展，翠钗难卜。待把宫眉横云样，描上生绡画幅。怕不是、新来妆束。彩扇红牙今都在，恨无人、解听开元曲。空掩袖，倚寒竹。
贺新郎 其五 兵后寓吴（宋·蒋捷）	深阁帘垂绣。记家人、软语灯边，笑涡红透。万叠城头哀怨角，吹落霜花满袖。影厮伴、东奔西走。望断乡关知何处，羡寒鸦、到著黄昏后。一点点，归杨柳。相看只有山如旧。叹浮云、本是无心，也成苍狗。明日枯荷包冷饭，又过前头小阜。趁未发、且尝村酒。醉探枵囊毛锥在，问邻翁、要写牛经否。翁不应，但摇手。
沁园春 其二 次强云卿韵（宋·蒋捷）	结算平生，风流债负，请一笔句。盖攻性之兵，花围锦阵，毒身之鸩，笑齿歌喉。岂识吾儒，道中乐地，绝胜珠帘十里楼。迷因底，叹晴乾不去，待雨淋头。休休。著甚来由。硬铁汉从来气食牛。但只有千篇，好诗好曲，都无半点，闲闷闲愁。自古娇波，溺人多矣，试问还能溺我不。高抬眼，看牵丝傀儡，谁弄谁收。
大圣乐 陶成之生日（宋·蒋捷）	笙月凉边，翠翘双舞，寿仙曲破。更听得艳拍流星，慢唱寿词初了，群唱莲歌。主翁楼上披鹤氅，展一笑、微微红透涡。襟怀好，纵炎官驻伞，长是春和。千年鼻祖事业，记曾趁雷声飞快梭。但也曾三径，抚松采菊，随分吟哦。富贵云浮，荣华风过，淡处还他滋味多。休辞饮，有碧荷贮酒，深似金荷。
女冠子 其一 元夕（宋·蒋捷）	蕙花香也。雪晴池馆如画。春风飞到，宝钗楼上，一片笙箫，琉璃光射。而今灯漫挂。不是暗尘明月，那时元夜。况年来、心懒意怯，羞与蛾儿争耍。江城人悄初更打。问繁华谁解，再向天公借。剔残红灺。但梦里隐隐，钿车罗帕。吴笺银粉砑。待把旧家风景，写成闲话。笑绿鬟邻女，倚窗犹唱，夕阳西下。
解连环 岳园牡丹（宋·蒋捷）	妒花风恶。吹青阴涨却，乱红池阁。驻媚景、别有仙葩，遍琼甃小台，翠油疏箔。旧日天香，记曾绕、玉奴弦萦。自长安路远，腻紫肥黄，但谱东洛。天津霁虹如昨。听鹃声度月，春又寥寞。散艳魄、飞入江南，转湖渺山茫，梦境难托。万叠花愁，正困倚、钩阑斜角。待携尊、醉歌醉舞，劝花自乐。
