读政黄牛（宋·释了悟）　　七言绝句　押支韵	清旷情怀世莫羁，放心异类乐斯时。千山万水无穷意，只许滩头白鹭知①。
偈颂五首（宋·释了悟）　　押阳韵	今朝七月半，丛林解制忙。当头老水牯，筋骨不堪当。大家团栾礼三拜，栴檀薝卜一般香。
颂古（宋·释了悟）	试问钟声披七条，轻轻击著无明发。买来糊饼是馒头，苦哉观世音菩萨①。
