吴江太湖笠泽虹桥诗二首（宋·范致君）　　七言绝句　押虞韵	欲自荆溪泛太湖，三月风涛正可虞。却自姑苏操小艇，吴松江下买莼鲈。
吕公洞（宋·范致君）　　七言绝句　押尤韵	朝游北海暮瀛洲，仙佩何年到此游。安得相从问丹诀，春风同醉岳阳楼。
竹林寺（宋·范致君）　　七言绝句	竹林深处有招提，静掩禅关过客稀。薝卜花开春欲暮，泠泠钟磬白云低①。
