石姥山（宋·周兑）　　七言绝句　押虞韵	石貌苍颜迥不殊，天工偶尔赋形躯。顽然本是无情物，应误行人指望夫。
雨涌泉（宋·周兑）　　七言绝句　押先韵	杨岐山下出灵泉，与海相通亘古传。汹涌便知天欲雨，为言阴石不须鞭①。
题毛仙山（宋·周兑）　　七言绝句　押蒸韵	仙翁辟谷绿毛生，假向人间作姓称。应与桐君为伴侣，丹成白日共飞升。
罗汉影（宋·周兑）　　七言绝句　押东韵	法身无著本来空，应供随缘处处同。偶向石间留个影，一轮秋日碧潭中。
葛仙坛（宋·周兑）　　七言绝句　押寒韵	稚川不恋晋衣冠，勾漏仙成九转丹。剩得数行风雨竹，人间珍重扫空坛。
九房石（宋·周兑）　　七言绝句　押阳韵	巍巍古殿峙中央，匼匝屏风列九房。莫惜冥搜访仙迹，其间恐有紫金床①。
