题魏鹏卧屏（宋·贾云华）　　七言绝句　押支韵	花柳芳菲二月时，名园剩有牡丹枝。风流杜牧还知否，莫恨寻春去较迟。
魏鹏负期醉卧戏题练裙（宋·贾云华）　　七言绝句	暮雨朝云少定踪，空劳神女下巫峰。襄王自是无情绪，醉卧明月花影中。
七夕（宋·贾云华）　　七言绝句　押青韵	斜亸香云倚翠屏，纱衣先觉露华零。谁云天上无离合，看取牵牛织女星①。
集唐绝句十首（宋·贾云华）　　七言绝句　押尤韵	两行清泪语前流，千里佳期一夕休！倚柱寻思倍懊恨，寂寥灯下不胜愁。
