夜泊（宋·翁孟寅）　　五言绝句　押尤韵	夜泊寒沙际，江风起旧愁。离情惟怕晚，归梦又逢秋①。
琼花（宋·翁孟寅）	春云一片辞天隙，千年万年不收拾。化作灵花沧海头，犹对春风怨红日。一从污世尘，几度□□腥。琼琼抱寸心，乱离常独醒。我疑太白散馀烈，飞入花心白如雪。西北劲气磨不尽，孤根屡枯还再结。地祇一笑万蕊香，玄鹤不来空断肠。阴云上天白日暗，何时来看春风狂①。
烛影摇红（宋·翁孟寅）	楼倚春城，锁窗曾共巢春燕。人生好梦比春风，不似杨花健。旧事如天渐远。奈情缘、素丝未断。镜尘埋恨，带粉栖香，曲屏寒浅。环佩空归，故园羞见桃花面。轻烟残照下阑干，独自疏帘卷。一信狂风又晚。海棠花、随风满院。乱鸦归后，杜宇啼时，一声声怨。
阮郎归（宋·翁孟寅）	月高楼外柳花明。单衣怯露零。小桥灯影落残星。寒烟蘸水萍。歌袖窄，舞鬟轻。梨花梦满城。落红啼鸟两无情。春愁添晓酲。
摸鱼儿（宋·翁孟寅）	卷西风、方肥塞草，带钩何事东去。月明万里关河梦，吴楚几番风雨。江上路。二十载头颅，凋落今如许。凉生弄麈。叹江左夷吾，隆中诸葛，谈笑已尘土。寒汀外，还见来时鸥鹭。重来应是春暮。轻裘岘首陪登眺，马上落花飞絮。拼醉舞。谁解道，断肠贺老江南句。沙津少驻。举目送飞鸿，幅巾老子，楼上正凝伫。
齐天乐 其一（宋·翁孟寅）	幽香不受春料理，青青尚馀秋鬓。涧曲岩隈，烟梳露浴，甘与菰蒲共隐。芳标瘦迥。看缨结丁香，带萦晴荇。恨水东流，楚江憔悴乱云暝。凄凉梦游故苑，纵妒花风暴，吹梦难醒。艳李妖桃，纡青佩紫，争似广文官冷。尘波万顷。算谁是同心，自怜孤影。收敛风流，素弦清夜永。
齐天乐 其二 元夕（宋·翁孟寅）	红香十里铜驼梦，如今旧游重省。节序飘零，欢娱老大，慵立灯光蟾影。伤心对景。怕回首东风，雨晴难准。曲巷幽坊，管弦一片笑声近。飞棚浮动翠葆，看金钗半溜，春妒红粉。凤辇鳌山，云收雾敛，迤逦铜壶漏迥。霜风渐紧。展一幅青绡，净悬孤镜。带醉扶归，晓酲春梦稳。
