上巳日（宋·孙永）　　五言绝句　押真韵	海内中和日，云间上巳辰。笙歌九天半，花木十洲春①。
清明（宋·孙永）　　七言绝句　押阳韵	每年每遇清明节，把酒寻花特地忙。今日江头衰病起，神前新火一炉香①。
泛汝联句（宋·孙永）	平居厌城郭，具舟泛清汝（曼叔）。蓝光一水远，铁色两崖古（持国）。日华动中流，沙纹乱前渚（化光）。湍鸣达公桥，草绿襄王墓（曼叔）。园英拥流沫，风叶堕残雨（持国）。停桡弄山泉，扶杖过花坞（化光）。澄潭数乱石，断石横颠树（曼叔）。泳波鱼鬣舒，闯穴蛙首怒（持国）。冲云一雁远，唼荇群鸥聚（化光）。村间桑柘春，川阔牛羊暮（曼叔）。回头绿树失，卷幔青峰露（持国）。寻幽恣盘桓，泊浅屡回互（化光）。灵草不知名，珍禽啼在处（持国）。夕阳散鸣鸠，荒阡拱游兔（曼叔）。挽缆谣歌童，簪花立田妇（持国）。高歌客自如，归涉人相负（曼叔）。青蒲戢戢生，紫燕翩翩度（化光）。云烟波底明，井邑林外睹（持国）。欣逢闾里旧，愧乏鸡黍具。缗水荐渊鳞，掘石羞山茹（曼叔）。绕塘梅实绿，冒桂禽壳素。我巾聊一颓，石榼烦屡注（持国）。朱樱出芳林，紫笋侑雕俎。高篇烂珠璧，至乐谢钟鼓（化光）。嗟予性本隘，于世事皆鲁。便欲弃簪裳，归去事田圃。肆意山水乐，脱身尘埃苦（曼叔）。此适诚足尚，斯言未宜遽。圣神拱岩庙，贤俊异圭组。如君之所怀，于时当有补。高文赞皇猷，大论宁国步。无为五斗卑，遂屈万里举（持国）。明心在知己，汗颜愧虚誉。时方索大鼎，胡为炫康瓠。富贵固众欲，非望久自阻。圣贤有遗言，戮力期共赴（曼叔）。尝闻曰中庸，曾不滞出处。进当泽生民，退则守环堵。所求义与比，要在身不污。愿无废吾言，于道其可庶（持国）。
