公馀漫兴（宋·黄伯固）　　七言绝句　押麻韵	蓼花秋水漫官衙，令尹情怀自一家。退食小斋无俗事，閒呼童子问桑麻①。
双清阁咏雪（宋·黄伯固）　　五言排律　押灰韵	箕伯宵声怒，髽童早语咍。飞花先腊白，和气觉春回。暗动云都簇，先凭雨作媒。有情皆噤惨，无物不低摧。阔洒吞平野，斜飞透隙埃。朦胧山下路，孤绝水边桅。厚载危倾压，阴机巧剪裁。溪流连底沥，蒙岭彻尖堆。妒舞时飘袖，催诗剩遣材。高将凌玉阙，清可并瑶台。密密疑霏屑，纷纷认落梅。诹龟占䆉稏，宿鹭敛毰毸。冻案呵吟笔，高楼殢酒杯。市衢停辙迹，香篆冷炉灰。试问麻衣咏，何如柳絮才。一时聊纪事，著句郢难陪。
渊靓亭（宋·黄伯固）	江山无古今，阐发自我辈。心期得地胜，有目皆一快。负郭西缭川，众流翕以汇。水光开三面，结屋此其最。嚣尘划清漪，景象极爽垲。泓澄湛寒碧，潭影尤可爱。岩前列烟树，翠色联不解。盘坳石下瞰，林立错奇怪。雄观喜新获，旷境了无碍。人谋孰使然，天作若有待。学宫尔多士，游息于此在。岂但濯尔缨，亦可湔尔佩。翛然鱼在藻，行矣鲲化海。维兹渊靓名，妙处默领会。中庸至矣夫，智者乐在内。水德本无虚，人心亦清洒。即物以察己，致之不在大。清源堪疏瀹，世虑涤昏昧。曾子浴乎沂，不出一唯外。淡乎贾傅心，或可分一派。
