送僧造普同塔（宋·释行机）　　七言绝句	珊珊玉骨本玲珑，挂角羚羊不见踪。特地作亭图甚么，为怜松竹引清风。
送育维那（宋·释行机）　　七言绝句　押真韵	克宾一字入公门，有理难伸笑杀人。隐静不行兴化令，他年谁道棒头亲①。
颂古四首（宋·释行机）　　押阳韵	叶落岗头一望长，几茎乔木倚斜阳。曾经巴峻猿啼处，铁打心肝寸断肠。
偈三首（宋·释行机）　　押东韵	地炉无火客囊空，雪似杨花落岁穷。拾得断麻穿坏衲，不知身在寂寥中。
