灵岩一线天（宋·徐几）　　七言绝句　押寒韵	尽日摩挲藓石斑，几人来此驻吟鞍①。谁知一线通天处，照见人心凛凛③寒②。
狮子峰（宋·徐几）　　七言绝句　押齐韵	举首朝天据洞扉，怪形蹲踞类狻猊。山中弹压无豺虎，留得孤猿半夜啼①。
天壶（宋·徐几）　　押梗韵	老松压石洞门耸，青萝曳树牵云影。天然物外清修地，岩头残月沈丹井①。
