吴王城（宋·吴居厚）　　七言绝句　押真韵	吴王宫殿作飞尘，野鸟幽花各自春。料得寒溪暄笑日，也曾惊动武昌人。
九曲亭（宋·吴居厚）　　七言绝句　押庚韵	山上盘旋九曲亭，春江满目与天平。青蘋白鹭渔家屋，几幅轻绡画得成①。
梅山二首（宋·吴居厚）　　七言绝句　押齐韵	寻溪小径多盘诘，车马初来路欲迷。千古英雄汉天子，桑麻今已遍标题。
与部使同游司空山（宋·吴居厚）　　押麻韵	王官身已达，所悦多纷华。区区朝与市，轻暖事穷奢。我公味冲澹，止乐山水嘉。肩舆靡厌寻，谢兴无津涯。杖藜适意游，野径穿迂斜。回忆挂冠时，息此避喧哗。骨相有神仙，得道成全家。遗迹富览观，高步淩烟霞。静中白日长，玉宇清风赊。睹兹神圣迹，喟然兴叹嗟①。
句（宋·吴居厚）　　押齐韵	步寻斜径到寒溪①。
