平远楼（宋·严仁）　　七言绝句　押支韵	湘中病客思归日，城上高楼独倚时。半树夕阳鸦集早，一江秋色雁来迟。
闻雁（宋·严仁）　　七言绝句　押尤韵	西风吹梦楚江秋，雁正来时妾正愁。怕有帛书天外至，画眉未了急登楼。
塞下曲（宋·严仁）　　七言绝句　押删韵	漠漠孤城落照间，黄榆白苇满关山。千枝羌笛连云起，知是胡儿牧马还①。
湘南（宋·严仁）　　七言绝句　押虞韵	斑竹萧萧水驿孤，落花吹雨赤沙湖。春风二月湘南路，何处青山无鹧鸪①。
贺新郎 其一（宋·严仁）	兰芷湘东国。正愁予、一江红叶，水程孤驿。欲写潇湘无限意，那得如椽彩笔。但满眼、西风萧瑟。我所思兮何处所，在镡津、津上沧湾侧。谁氏子，阆风客。阆风仙客才无敌。赋悲秋、抑扬顿挫，流离沈郁。百赋千诗朝复暮，解道波涛春力。忆共尔、乘槎吹笛。八表神游吾梦见，渺洞庭、青草烟波隔。空怅望，楚天碧。
贺新郎 其二 清浪轩送春（宋·严仁）	碧浪摇春渚。浸虚檐、蒲萄滉漾，翠绡掀舞。委曲经过台下路，载取落花东去。问花亦、漂流良苦。花不能言应有恨，恨十分、都被春风误。同此恨，有飞絮。人生聚散元无据。尽凭阑、一尊相对，苹州春暮。嫉色冲冲空怅望，泪尽世间儿女。君不见、千金求赋。飞燕婕妤今何在，看黏云、江影伤千古。流不去，断魂处。
贺新郎 其三 送杜子野赴省（宋·严仁）	说到城南杜。尽风流、至今人号，去天尺五。家世联翩苍玉佩，自有文章机杼。看鸾凤、九霄轩翥。文阵堂堂新得隽，正少年、壮气虹霓吐。拈彩笔，月城去。出关相送梅千树。雪连空、马蹄特特，晓寒人度。帝里春浓花似海，催入明光奏赋。须快展、亨衢阔步。随世功名真漫浪，要平生、所学期无负。须记得，别时语。
归朝欢 其一 南剑双溪楼（宋·严仁）	五月人间挥汗雨。离恨一襟何处去。双溪楼下碧千寻，双溪楼上匏尊举。晚凉生绿树。渔灯几点依洲渚。莫狂歌，潭空月净，惨惨瘦蛟舞。变化往来无定所。求剑刻舟应笑汝。只今谁是晋司空，斗牛奕奕红光吐。我来空吊古，与君同记凭阑语。问沧波，乘槎此去，流到天河否。
归朝欢 其二 寿萧禹平知县（宋·严仁）	云表金茎珠璀璨。当日投怀惊玉燕。文章议论压西廱，风流姓字翔东观。紫皇嗟见晚。祥麟五色留金殿。大江西，铜章墨绶，暂尔烦君绾。十二金钗扶玉盏。锦瑟摐摐随急管。兽炉烟动彩云高，秋声拍碎红牙板。趣君归翰苑。莱衣焕烂潘舆稳。任方瞳，从今看到，弱水波清浅。
归朝欢 其三 别忆（宋·严仁）	朱户绿窗深窈窕。闪闪华旗红干小。相逢斜柳绊轻舟，渚香不断蘋花老。西风吹梦草。题诗未了还惊觉。独伤心，凄凉故馆，月过西楼悄。楼外斜河低浸斗。夜已如何夜将晓。心期欲寄赤鳞鱼，秋云不动秋江渺。相思千里道。多情直被无情恼。玉台前，请君试看，华发添多少。
水龙吟 其一 题连州翼然亭呈欧守（宋·严仁）	翼然新榜高亭，翰林铁画燕公手。滁阳盛事，何人重继，湟川太守。太守谓谁，文章的派，醉翁贤胄。对千峰削翠，双溪注玉，端不减、琅琊秀。坐啸清香画戟，听丁丁、滴花晴漏。棠阴昼寂，细赓宾客，竹枝杨柳。只恐明朝，绨封趣觐，未容借寇。尽江山识赏，盐梅事业，焕青毡旧。
水调歌头 上韵州方检详，时有节制之命（宋·严仁）	惨淡望京阙，慷慨梦天山。引杯中夜看剑，壮气刷幽燕。鼍鼓满天催曙，画角连云啸月，吹断戍瓶烟。犀角赤兔马，虎帐绿熊毡。仗汉节，伸大义，伐可汗。青冥更下斧钺，赤子要君安。铁骑千群观猎，宫样十眉环座，礕礰听鸣弦。莫厌兜鍪冷，归去又貂蝉。
水龙吟 其二 题天风海涛呈潘料院（宋·严仁）	飙车飞上蓬莱，不须更跨琴高鲤。砉然长啸，天风澒洞，云涛无际。我欲乘桴，从兹浮海，约任公子。办虹竿千丈，犗钩五十，亲点对、连鳌饵。谁榜佳名空翠。紫阳仙、去骑箕尾。银钩铁画，龙拿凤翥，留人间世。更忆东山，哀筝一曲，洒沾襟泪。到而今，幸有高亭遗爱，寓甘棠意。
木兰花慢 社日有怀（宋·严仁）	东风吹雾雨，更吹起、裌衣寒。正莽莽丛林，潭潭伐鼓，郁郁焚兰。阑干曲、多少意，看青烟如篆绕溪湾。桑柘绿阴犹薄，杏桃红雨初翻。飞花片片走潺湲。问何日西还。叹扰扰人生，纷纷离合，渺渺悲欢。想云軿、何处也，对芳时、应只在人间。惆怅回纹锦字，断肠斜日云山。
水龙吟 其三 题盱江伟观（宋·严仁）	城头杰观峥嵘，重阑下瞰苍龙脊。镂珉盘础，雕檀竦楶，玲珑金碧。华子冈头，麻源谷口，神仙窟宅。道至今清夜，月明风冷，常隐隐、闻笙笛。翠壁烟霞缥缈，更寒泉、飞空千尺。数峰江上，孤舟天际，夕阳红湿。抖擞征尘，浩然长啸，跨青鸾翼。向凤岗西望，遥酾斗酒，酹文章伯。
蝶恋花 其一 快阁（宋·严仁）	杰阁青红天半倚。万里归舟，更近阑干舣。木落山寒凫雁起。一声渔笛沧洲尾。千古文章黄太史。扪虱高风，长照冰壶里。何以荐君秋菊蕊。癯瓢为酌西江水。
蝶恋花 其二 春情（宋·严仁）	院静日长花气暖。一簇娇红，得见春深浅。风送生香来近远。笑声只在秋千畔。目力未穷肠已断。一寸芳心，更逐游丝乱。朱户对开帘卷半。日斜江上春风晚。
鹧鸪天 其一 怨别（宋·严仁）	一径萧条落叶深。离肠凄断月明砧。征鸿送恨连云起，促织惊秋傍砌吟。风悄悄，夜沈沈。鸳机坐冷晓霜侵。挑成锦字心相向，未必君心似妾心。
鹧鸪天 其二 闺思（宋·严仁）	多病春来事事慵。偶因扑蝶到庭中。落红万叠花经雨，斜碧千条柳因风。深院宇，小帘栊。几年离别恰相逢。擎觞未饮心先醉，为有春愁似酒浓。
鹧鸪天 其三 别意（宋·严仁）	行尽春山春事空。别愁离恨满江东。三更鼓润官楼雨，五夜灯残客舍风。寒淡淡，晓胧胧。黄鸡催断丑时钟。紫骝嚼勒金衔响，冲破飞花一道红。
