呈南堂静禅师（宋·莫将）　　七言绝句　押尤韵	从来姿韵爱风流，几笑时人向外求。万别千差无觅处，得来元在鼻尖头①。
木兰花/玉楼春 其一 十梅未开（宋·莫将）	一枝和露珍珠贯。月下回来寻几遍。今朝忽见数枝开，未有十分如待伴。新妆不比徐妃面。雪艳冰姿寒欲颤。外边多少扫春人，春信莫教容易断。
木兰花/玉楼春 其二 晨景（宋·莫将）	梅边晓景清无比。林下诗人呵冻指。玉龙留住麝脐烟，银漏滴残龙脑水。晨光渐渐收寒气。昨夜遗簪犹在地。好生折赠镜中人，只恐绿窗慵未起。
木兰花/玉楼春 其三 雪里（宋·莫将）	清姿自是生寒瘦。更在春前并腊后。谁教六出巧遮藏，争似一番先透漏。谢娘莫把翻衣袖。无限琼英飘玉甃。开时朵朵见天真，可奈碧溪和粉溜。
木兰花/玉楼春 其四 晴天（宋·莫将）	寒梢雨里愁无那。林下开时宜数过。夕阳恰似过清溪，一树横斜疏影卧。朱唇莫比桃花破。鬓袅黄金花欲堕。剩看春雪满空来，触处是花寻那个。
木兰花/玉楼春 其五 风前（宋·莫将）	寻梅莫背东风路。路在花前知去处。真香破鼻蓦然闻，试问幽丛知几步。多情更被无寒助。万物枯时神物护。一枝和雪倚阑干，昨夜初开春信度。
木兰花/玉楼春 其六 月下（宋·莫将）	暗香浮动黄昏后。更是月明如白昼。看来都坐玉壶冰，折赠徐妃丹桂手。赏酬风景无过酒。对影成三谁左右。劝君携取董妖娆，拱得醉翁香满袖。
木兰花/玉楼春 其七 雨中（宋·莫将）	花时人道多风雨。梅蕊都来无几许。何须飘洒湿芳心，粉面琳琅如泪注。家童莫扫花阴土。留浥琼林枝上露。若教燕子早衔泥，径里馀香应满户。
木兰花/玉楼春 其八 欲谢（宋·莫将）	眼前欲尽情何限。风外南枝无一半。东君何事莫教开，及至如今都不管。高楼三弄休吹趱。一片惊人肠欲断。杏花开后莫嫌衰，如豆青时君细看。
独脚令/忆王孙（宋·莫将）	绛唇初点粉红新。凤镜临妆已逼真。苒苒钗头香趁人。惜芳晨。玉骨冰姿别是春。
木兰花/玉楼春 其九 吟咏（宋·莫将）	前村雪里虽然早。争似横斜开处好。直饶隔水是江南，也恐一枝春未到。延宾莫恨花阴小。见说芳林今古抱。集花潇洒洞天深，永夜玉山应自倒。
木兰花/玉楼春 其一 望梅（宋·莫将）	少陵长被花为恼。况是梅花非草草。临歧争奈不吟诗，此度诗人宜可老。诗成莫惜尊罍倒。不醉花前花解笑。醒时分付两三枝，酒后忆君清梦到。
浣溪沙（宋·莫将）　　押齐韵	宝钏湘裙上玉梯。云重应恨翠楼低。愁同芳草两萋萋。
