小玉蕊花（宋·刘倓）　　五言绝句　押庚韵	蔌蔌碎金英，丝丝镂玉茎。步摇钗朵见，老眼为增明。
蓬岛山（宋·刘倓）　　七言绝句　押微韵	轧轧笋舆过翠微，路经蓬岛锁云霏。雨从半岭岩窝出，云在行人脚下飞①。
茧㯃花（宋·刘倓）　　七言绝句　押麻韵	清晨步上金鸡岭，极目漫山茧㯃花。雪蕊琼丝亦堪赏，樵童蚕妇伐归家。
尊胜院（宋·刘倓）　　七言绝句　押萧韵	海角寻春雪未消，马蹄无处避琼瑶。己公屋下论文酒，炉火篝灯伴寂寥①。
隐秀亭（宋·刘倓）　　七言绝句　押豪韵	一重一崦一岧峣，隐秀寒光次第高。借得笋舆如小艇，晚风千里泛清涛①。
横山（宋·刘倓）　　七言绝句　押虞韵	桐林老子俗情无，览胜探奇不觉晡。幸尔清溪好明月，如行四十里冰壶。
次韵胡少瀹题梁王山蟠松诗（宋·刘倓）	长松上捎日月宫，昂霄耸壑材甚雄。不肯甘心卧云巘，有时见梦十八公。汗颜血指，那知大匠自有体。斩伐丁丁，朝夕聒人幽耳聋。岂如吾乡华顶一峰八万四千丈，下蟠夭夭矫矫奇奇怪怪之苍松。樛枝半压鲁隐九年之大雪，雅韵曾和虞氏五弦之薰风。八千灵椿三千桃实几番见，何况篱下黄菊江头赤叶枫。萧梁劫火烧不死，坐阅五季鹿走天下人亡弓①。世人欲识吾家所扰真龙种，请看春雷发蛰雾滃霱云从。礧砢蹙缩轮囷拥肿可挫不可辱，坚刚正独盘薄偃蹇受命不受封。无用之用不器之器振古成自晚，天台道人何苦汲汲图象寄涪翁。搜肠镂肾状出怪松赞，反言挺而茂者肥瘠贵得中②。吁嗟九原相如不可作，飘飘词赋谁摩穹。阆风逸民自愧才力薄，北斗以南惟有四朝之老农③。
登石台山与胡融李揆王度周仲卿联句（宋·刘倓）　　押文韵	无正文。
句（宋·刘倓）　　押麻韵	江南春晚经行地，剩有唐昌玉蕊花。露绮烟絺无限态，冰清玉润自成葩①。
