嘲林和靖（宋·许洞）　　七言绝句　押尤韵	寺里掇斋饥老鼠，林间咳嗽病猕猴。豪民遗物鹅伸颈，好客临门鳖缩头①。
赠潘阆（宋·许洞）	潘逍遥，平生才气如天高。倚天大笑无所惧，天公嗔汝口呶呶。罚教临老头补衲，归中条。我愿中条山，山神镇长在。驱雷叱电，依前赶出这老怪①。
诗一首（宋·许洞）	金釭焰短风幕斜，栖乌啼月声鸦鸦。玉人宝瑟掩不弄，背窗红泪飘兰花。锦机挑字相思意，欲托南风到辽水。黄龙梦断春意劳，渺邈音容隔千里①。
句 其一（宋·许洞）　　押月韵	霜霭清九衢，霞光照双阙（早朝）。
