四时般若（宋·释法泰）　　七言绝句　押真韵	日暖风和天地春，野华芳草一翻新。灵山佳致依然在，谁是当年微笑人。
赞达磨（宋·释法泰）　　七言绝句　押东韵	泛舶来梁自普通，一锤击碎有为功。谁云面壁无言说，争奈当门齿露风①。
偈十三首（宋·释法泰）	客从远方来，遗我一张琴。中含太古意，举世无知音。子期徒侧耳，师旷谩追寻。今朝呈似君，试请弹一曲。
偈七首（宋·释法泰）　　押翰韵	今朝正月已半，是处灯火缭乱。满城罗骑骈阗，交互往来游玩。文殊走入闹篮中，普贤端坐高楼看。
颂古十二首（宋·释法泰）　　押歌韵	朝三暮四一何少，暮四朝三何太多。多少未能知数量，有无从此见殽讹。不殽讹，唵苏嚧，㗭哩萨婆诃。
颂古四十四首（宋·释法泰）	生无所生，死无所死。风动尘飞，波澄浪止。和合离散，随处发现。满月弯弓，双雕一箭。
