子猷访戴（宋·来梓）　　七言绝句　押尤韵	四山摇玉夜光浮，一舸玻璃凝不流。若使过门相见了，千年风致一时休。
杜甫游春（宋·来梓）　　七言绝句　押齐韵	典尽春衣不肯归，熊儿扶过瀼溪西。伤时怀抱深于海，掠眼风光醉似泥①。
六言二首（宋·来梓）　　押灰韵	叶淅历而争堕，菊徘徊而尚开。流年逼人太甚，佳客折简不来。
