南京种山药法（宋·蔡挺）　　七言绝句　押先韵	青青正是中分天，区种何妨试玉延。即见引须缘夏木，定知如蹠荐冬筵①。
皇子生献诗（宋·蔡挺）　　七言绝句　押萧韵	昨夜薰风入舜韶，君王未御①正衙朝。阳晖已得前星助，阴沴潜随夜雨消②。
喜迁莺（宋·蔡挺）	霜天清晓。望紫塞古垒，寒云衰草。汗马嘶风，边鸿翻月，垄上铁衣寒早。剑歌骑曲悲壮，尽道君恩难报。塞垣乐，尽双鞬锦带，山西年少。谈笑。刁斗静。烽火一把，常送平安耗。圣主忧边，威灵遐布，骄虏且宽天讨。岁华向晚愁思，谁念玉关人老。太平也，且欢娱，不惜金尊频倒。
