水月洞绝句（宋·张埏）　　五言绝句　押寒韵	明月出天山，月明秋水寒。观心同水月，镊白坐相看①。
龙隐洞（宋·张埏）　　七言绝句　押先韵	几年鳞甲蛰清渊，一旦飞腾石自穿。遗迹谩存离旧隐，定应衔雨去朝天。
龙隐岩（宋·张埏）　　七言绝句　押先韵	洞口岩高著数椽，湫灵听法护金仙。腾身一跃天池后，云雾于今尚滃然①。
