题刘原父书南华秋水篇（宋·徐木润）　　五言绝句　押删韵	不识刘公字，今方睹一斑。笔兼欧蔡体，品在上中间①。
题忠悯公墓志后（宋·徐木润）　　七言绝句　押歌韵	初心直欲复关河，保蜀功劳不自多。诸葛大名垂宇宙，北山千古共巍峨①。
题忠悯公送婿邢得昭归婺女诗后（宋·徐木润）	中军叹韩甥去，潮州喜湘侄来。欲识邢郎高谊，但看郑老饯诗。
