留题山谷寺（宋·陆宰）　　七言绝句　押微韵	芙蓉已入双林寂，山谷今传佛祖衣。千里客来何所遇，夜堂人静雨霏霏①。
留别东阳（宋·陆宰）　　七言绝句　押庚韵	前身疑是此山僧，猿鹤相逢亦有情。珍重岭头风与月，百年常记老夫名①。
句 其二（宋·陆宰）　　押尤韵	岁月悠悠悲往事，川原冉冉梦重游（《家世旧闻》）。
