偈（宋·释普交）　　押东韵	若人问我解何宗，一喝须教两耳聋。满杓黄齑饱吃了，生涯总在钵盂中。
辞众偈（宋·释普交）　　押文韵	宝杖敲空触处春，光阴掣电旧曾闻①。昨宵风动寒岩冷，惊起泥牛耕白云②。
偈（宋·释普交）　　押真韵	黄面老，佛法付王臣。林下无情客，官差逼杀人①。
