上权臣（宋·释仪）　　七言绝句　押尤韵	我本田中一比丘，却来乘马不乘牛。如今马上风波急，不似田中得自由①。
句（宋·释仪）	片帆忽逐飞鸿去，知落谁山第几重（合江亭）。
偈三首（宋·释仪）	莫分彼我，彼我无殊。困鱼止泺，病鸟栖芦。逡巡不进泥中履，争得先生一卷书。
