普照院（宋·李浙）　　七言绝句　押支韵	青山绕屋蓝光重，流水冲阶碧藓滋。独坐午窗谁晤语，鹧鸪声里竹阴移①。
普熏院（宋·李浙）　　七言绝句　押东韵	征鞍晓踏山头月，客袂昼披松下风。况有禅堂供偃息，陶然一枕梦槐宫①。
踏莎行 送新城交代李达善（宋·李浙）	红药香残，绿筠粉嫩。春归何处寻春信。绣鞍初上马蹄轻，举头便觉长安近。别酒无情，啼妆有恨。山城向晚斜阳褪。清江极目带寒烟，锦鳞去后凭谁问。
满庭芳 乡老众宾劝制置开府酒（宋·李浙）	油幕新开，骍旄前导，暂归梓里舂容。致身槐府，功在鼎彝中。慨想东山故侣，烟霞外，久阔仙踪。今何幸，相逢吐握，谈笑一尊同。德星，占瑞处，旌麾五马，衮绣三公。对渭川遗老，绛县仙翁。厚意杯传绀玉，那堪更，篚实囊红。拼沈醉，今宵盛事，复见古人风。
千秋岁 四明赵制置、史开府劝乡老众宾酒（宋·李浙）	鄮峰凝瑞，鄞水浮佳气。晴景转，花光媚。碧幢森大纛，红旆纷千骑。相遇处，满城鹤发群仙萃。绮席张高会。鼍鼓笙箫沸。金兽袅，檀烟翠。玉山环回座，休惜今朝醉。觞再举，清歌共引千秋岁。
