游龙湫拜诺矩罗尊者（宋·释祖珍）　　七言绝句　押尤韵	十里松溪到上流，断崖千尺泻龙湫。谁言尊者心无著，冷眼长年看不休①。
偈三十五首（宋·释祖珍）	青毡本属吾家，日用何曾欠阙。要识里许清规，除是君子可八①。
临终偈（宋·释祖珍）　　押纸韵	生本无生，死本无死。生死二途，了无彼此①。
