林和靖祠（宋·吴子良）　　七言绝句　押麻韵	松树高低逐径斜，祠堂牢落锁烟霞。我来閒咏梅花句，想见此翁如此花①。
葵花（宋·吴子良）　　押养韵	花生初咫尺，意思已寻丈。一日复一日，看看众花上①。
句（宋·吴子良）　　押灰韵	问花何事人偏爱，会遇渊明把玩来（菊花）。
