山茶花（宋·俞国宝）　　七言绝句　押麻韵	花近东溪居士家，好携樽酒款携茶。玉皇收拾还天上，便恐筠阳无此花。
贺新郎 梅（宋·俞国宝）	梦里骖鸾鹤。觉三山不远，依前海风吹落。浮到五湖烟月上，刚被梅香醉着。粲玉树、轻明疏薄。十万琼琚天女队，捧冰壶、玉液琉璃杓。来伴我，荐清酌。恍然梦断浑非昨。问溪边竹外，新来为谁开却。无限冰魂招不得，拟把离骚唤觉。待抖擞、红尘双脚。万里瑶台终一到，想玉奴、不负东昏约。留此恨，寄残角。
风入松（宋·俞国宝）	一春长费买花钱。日日醉花边。玉骢惯识西湖路，骄嘶过、沽酒垆前。红杏香中箫鼓，绿杨影里秋千。暖风十里丽人天。花压髻云偏。画船载取春归去，馀情寄、湖水湖烟。明日重扶残醉，来寻陌上花钿。
瑞鹤仙（宋·俞国宝）	春衫和泪著。又燕入江南，雁归衡岳。东风晓来恶。绕西园无绪，泪随花落。愁钟恨角。梦无凭、难成易觉。到春来易感，韩香顿减，沈腰如削。离索。挑灯占信，听鹊求音，不禁春弱。云轻雨薄。阳台远，信难托。念盟钗一股，鸾光两破，已负秦楼素约。但莫教、嫩绿成阴，把人误却。
清平乐（宋·俞国宝）	数声乌鹊。院宇寒萧索。杨柳梢头秋过却。无叶可供风落。可人犹有芙蕖。向人冷澹妆梳。云外征鸿过尽，夕阳依旧平芜。
卜算子（宋·俞国宝）	剪烛写香笺，拨火温寒醑。门外东风将我愁，欲作三更雨。夜夜玉楼心，日日长亭路。豆蔻花开信不来，尘满金钗股。
水调歌头（宋·俞国宝）	灵谷有荚气，盘结在巴山。云蒸雨朵欲遣，奇怪出人间。不作丰城宝剑，不作渥洼灵种，不作化龙竿。生此济时杰，理乱总相关。入为相，出为将，两馀闲。忠肝义胆，曾将鲠论破天颜。好把昪平勋业，趁取河清桃熟，千岁奉金銮。草却登封检，双鬓未曾斑。
满庭芳（宋·俞国宝）	南省西清，黄扉青琐，五年历遍中都。一封朝奏，无乃爱君欤。便作筠阳胜赏，东溪上、鸥鸟相娱。谁知道，心存魏阙，身暂寄江湖。东溪，何所有，冬梅夏柳，春杞秋蕖。谩回首，多少笼鸟池鱼。细看山林朝市，经行处、等是蘧庐。今朝好，一杯寿酒，一卷养生书。
临江仙（宋·俞国宝）	落落江湖三岛，才高懒住清都。手携黄石一编书。醉眠莘垄月，闲钓渭川鱼。见说玉阶三尺地，思君来讲唐虞。夜来南极一星孤。不知天子梦，曾到傅岩无。
临江仙（宋·俞国宝）	春到江南江北了，东皇未识花权。直将和气入巴川。逢迎天上客，来作地行仙。满捧一杯听细说，只今谁似公贤。愿推功业辅尧年。都将闲日月，来醉百花前。
念奴娇（宋·俞国宝）	云收雾敛，过一番疏雨，秋容新沐。月满巴山天似水，满眼祥云飞扑。一点长庚，瑞腾光彩，独照梅仙屋。十洲三岛，有人初降凡俗。长怪李白疏狂，骑鲸一去，千载无人逐。也解重来应尚欠，多少人间传曲。只怨君王，促归批诏，夜对金莲烛。蓬仙日醉，不知海岛桃熟。
蓦山溪 其一（宋·俞国宝）	群花烂熳，春色浓如酒。芳草绿铺茵，正荼蘼、牡丹时候。佳辰协瑞，来降蕊宫仙，珠帘卷，画堂深，香雾腾金兽。朱颜绿鬓，不改长如旧。金盏莫辞深，拚通宵、尽从银漏。笙歌丛里，欢笑度年华。看荣贵，有儿孙，永祝松椿寿。
