着棋台（宋·游师雄）　　五言绝句　押陌韵	石桥跨两岫，野叟尝远蹠。旁有枰棋处，云是仙人弈①。
汲泉烹茶寄叶君康直（宋·游师雄）　　七言绝句　押寒韵	清甘一派古祠边，昨日亲烹小凤团。却恨竟陵无品目，烦君粗鉴为尝看①。
贺岷州守种谊破鬼章二首（宋·游师雄）　　七言绝句　押灰韵	王师一举疾于雷，顷刻俄闻破敌回。且喜将门还出将，槛车生致鬼章来。
过九成宫旧址二首（宋·游师雄）　　押东韵	今古市朝已变，隋唐楼殿成空。惟有山头明月，夜来犹照荒宫。
