题阮希圣东湖（宋·刘浚）　　七言绝句　押庚韵	四面溪山列画屏，一堂新创有馀清。湖光隔断红尘路，疑在金鳌顶上行。
东鹜山石洞（宋·刘浚）　　七言绝句　押东韵	满山云雨蛟龙走，万壑风烟虎豹通。岩窦石泉流出冷，草庵禅影坐来空①。
期夜月（宋·刘浚）	金钩花绶系双月。腰肢软低折。揎皓腕，萦绣结。轻盈宛转，妙若凤鸾飞越。无别。香檀急扣转清切。翻纤手飘瞥。催画鼓，追脆管，锵洋雅奏，尚与众音为节。当时妙选舞袖，慧性雅资，名为殊绝。满座倾心注目，不甚窥回雪。纤怯。逡巡一曲霓裳彻。汗透鲛绡肌润，教人传香粉，媚容秀发。宛降蕊珠宫阙。
句（宋·刘浚）　　押愿韵	不用茱萸子细看，管取明年各强健（重阳）。
