蜡梅（宋·杨巽斋）　　七言绝句	香蜜栽葩分外工，疏枝数点缀雏蜂。娇黄染就宫妆样，香暖犹宜爱日烘①。
荷花（宋·杨巽斋）　　七言绝句　押先韵	翠盖红幢耀日鲜，西湖佳丽会群仙。波平十里铺云锦，风度清香趁画船①。
一丈红（宋·杨巽斋）　　七言绝句　押侵韵	红白青黄弄浅深，旌分幢列自成阴。但疑承露惊殊色，谁识倾阳无二心。
牵牛花（宋·杨巽斋）　　七言绝句　押阳韵	青青柔蔓绕修墙①，刷翠成花著处芳。应是折从河鼓手，天孙斜插鬓云香②。
杜鹃花（宋·杨巽斋）　　七言绝句　押庚韵	鲜红滴滴映霞明，尽是冤禽血染成。羁客有家归未得，对花无语两含情①。
寿春花（宋·杨巽斋）　　七言绝句　押虞韵	花间碧玉最敷腴，看挹南薰景又殊。天赋芳姿长不老，命名为寿定非诬①。
薝卜花（宋·杨巽斋）　　七言绝句　押阳韵	薝卜标名自宝坊，薰风开遍一庭霜。閒来扫地跏趺坐，受用此花无尽香①。
茉莉花（宋·杨巽斋）　　七言绝句　押尤韵	脐麝龙涎韵不侔，薰风移植自南州。谁家浴罢临妆女，爱把閒花带满头①。
玉绣毬（宋·杨巽斋）　　七言绝句　押支韵	纷纷红紫斗芳菲，争似团酥越样奇。料想花神闲戏击，误随风起坠繁枝。
滚绣毬（宋·杨巽斋）　　七言绝句　押真韵	琢玉英标不染尘，光涵月影愈清新。青皇宴罢呈馀技，抛向东风展转频。
万蝶花（宋·杨巽斋）　　七言绝句　押东韵	粉翼纷纷簇几丛，摇风欲趁卖花翁。诗眸览倦方攲枕，栩栩犹疑在梦中。
真珠花（宋·杨巽斋）　　七言绝句　押鱼韵	累累花发映庭除，柳带榆钱总不如。一任春风吹满地，幽人步履自虚徐。
鸡冠花（宋·杨巽斋）　　七言绝句　押庚韵	濯濯高花染血猩，却怜金距起闲争。宋家窗下宜栽此，莫问临风不解鸣①。
锦带花（宋·杨巽斋）　　七言绝句　押真韵	万钉簇锦若垂绅，围住东风稳称身。闻道沈腰易宽减，何妨留与系青春。
密友花（宋·杨巽斋）　　七言绝句　押真韵	黄花端逼菊花真，朵朵相迎意更亲。情似春浓非淡泊，何妨呼酒对佳宾。
碧蝉儿花（宋·杨巽斋）　　七言绝句　押微韵	扬葩簌簌傍疏篱，薄翅舒青势欲飞。几误佳人将扇扑，始知错认枉心机。
满堂春（宋·杨巽斋）　　七言绝句　押虞韵	花发围眸①昼锦如，列仙行缀在蓬壶。千金须拚豪家赏，一笑春风无向隅。
御仙花（宋·杨巽斋）　　七言绝句　押豪韵	不逐凡花逞艳娇，移根上苑独清高。君王曾选装金带，侈锡持荷耀紫袍。
太平花（宋·杨巽斋）　　七言绝句　押文韵	紫芝奇树谩前闻，未若斯花叶气薰。种向春台岂无象，望中秀色似卿云。
南天竺花（宋·杨巽斋）　　七言绝句　押先韵	花发朱明雨后天，结成红颗更轻圆。人间热恼谁医得，正要清香净业缘。
