咏石僧（宋·汤思退）　　七言绝句　押真韵	云作袈裟石作僧，岩前独立几经春。有人若问西来意，默默无言总是真①。
菩萨蛮 游水月寺（宋·汤思退）	画船横绝湖波练。更上雕鞍穷翠巘。霜橘半垂黄。征衣尽日香。钟声云外听。金界青松映。何处是华山。峰峦杳霭间。
句（宋·汤思退）　　押删韵	虞妃从梧野，启母祔稽山（显仁皇后挽诗）。
句（宋·汤思退）　　押删韵	虞妃从醒野，启母袝稽山。
