诘猫（宋·刘琰）　　七言绝句　押鱼韵	古人养客乏车鱼，今汝何功客不如。饭有溪鱼眠有毯，忍教鼠齧案头书①。
王刚仲惠诗醉笔聊和（宋·刘琰）	君不见山泽之癯蒙野服，为彼隰桑还自沃。又不见侯门公子贵且娇，饱豢膏粱犹未足。人生贵贱不难分，唯有圣贤无等伦。朝为涂人暮为禹，穷崖断壑看回春。君方妙龄截不住，万里飞黄又腾世。王良造父不得施，耳侧风声未为遽。我思古人爱其宇，青蘋堂兮杜若庑。芰荷可裳菊可餐，肯逐纤埃与尘土。是中非声亦非色，安得与君一冯轼。鹍鹏变化不可量，要指天池为一息。悠悠此道谁能将，从知可玩不可忘。慎勿随风学飘絮，春光骀荡成飞扬①。
句（宋·刘琰）　　押东韵	呜呼诸将官日穹，岂知万鬼号阴风（国殇行）。
