游大涤（宋·张濡）　　七言绝句　押东韵	危楼拱翠出层空，画栋朱栏缥缈中。客散月明风露下，一奁天棘伴丝桐①。
和回山人榴皮题壁旧韵（宋·张濡）　　七言绝句　押鱼韵	芒鞋记踏青犹软，野径萦纡雪尚馀。走笔锓珉增愧色，可无换谷一篇书①。
湖上别墅（宋·张濡）　　七言绝句　押删韵	弱柳舒眉学远山，四山斜亸绿云鬟。平湖如鉴一回照，西子明妆浓淡间①。
